Date,Close,High,Low,Open,Volume
2024-05-02,171.31,171.7,169.19,170.8,94214900
2024-05-03,181.56,185.14,180.85,184.8,163224100
2024-05-06,179.91,182.37,178.63,180.54,78569700
2024-05-07,180.59,183.06,179.52,181.63,77305800
2024-05-08,180.93,181.25,179.65,181.03,45057100
2024-05-09,182.74,182.83,180.3,180.75,48983000
2024-05-10,181.48,183.5,180.57,183.31,50759500
2024-05-13,184.68,185.49,183.03,183.85,72044800
2024-05-14,185.82,186.68,184.69,185.9,52393600
2024-05-15,188.09,189.01,185.76,186.3,70400000
2024-05-16,188.21,189.46,188.03,188.83,52845200
2024-05-17,188.24,189.17,187.56,187.88,41282900
2024-05-20,189.4,190.27,187.39,187.7,44361300
2024-05-21,190.7,191.07,189.28,189.45,42309400
2024-05-22,189.26,191.16,188.64,190.62,34648500
2024-05-23,185.28,189.36,185.03,189.34,51005900
2024-05-24,188.35,188.94,186.43,187.2,36327000
2024-05-28,188.36,191.34,187.48,189.87,52280100
2024-05-29,188.66,190.6,187.88,187.98,53068000
2024-05-30,189.65,190.53,188.99,189.12,49889100
2024-05-31,190.6,190.92,188.28,189.8,75158300
2024-06-03,192.36,193.32,190.87,191.24,50080500
2024-06-04,192.68,193.64,191.37,192.97,47471400
2024-06-05,194.19,195.21,193.2,193.72,54156800
2024-06-06,192.81,194.81,192.5,194.01,41181800
2024-06-07,195.2,195.25,192.47,192.98,53103900
2024-06-10,191.46,195.61,190.5,195.21,97010200
2024-06-11,205.37,205.38,191.97,191.99,172373300
2024-06-12,211.24,218.31,205.12,205.59,198134300
2024-06-13,212.4,214.89,209.78,212.9,97862700
2024-06-14,210.67,213.32,209.49,212.01,70122700
2024-06-17,214.81,217.07,210.89,211.54,93728300
2024-06-18,212.45,216.75,211.17,215.72,79943300
2024-06-20,207.88,212.4,207.06,212.09,86172500
2024-06-21,205.71,210.07,205.33,208.58,241805100
2024-06-24,206.35,210.87,204.82,205.94,80727000
2024-06-25,207.27,209.56,206.82,207.35,55549700
2024-06-26,211.42,213.01,208.83,209.68,66213200
2024-06-27,212.26,213.89,210.53,212.85,49772700
2024-06-28,208.81,214.21,208.49,213.92,82542700
2024-07-01,214.89,215.64,210.1,210.27,60402900
2024-07-02,218.38,218.49,213.25,214.29,58046200
2024-07-03,219.65,219.65,217.15,218.11,37369800
2024-07-05,224.4,224.51,219.75,219.75,60412400
2024-07-08,225.86,225.89,221.33,225.14,59085900
2024-07-09,226.72,227.43,224.43,225.97,48076100
2024-07-10,230.98,231.08,227.28,227.33,62627700
2024-07-11,225.62,230.39,223.83,229.4,64710600
2024-07-12,228.56,230.64,226.72,226.95,53046500
2024-07-15,232.39,235.19,231.09,234.45,62631300
2024-07-16,232.8,234.24,230.33,232.98,43234300
