Date,Close,High,Low,Open,Volume
2024-08-08,396.46,399.58,393.75,396.21,20203000
2024-08-09,399.74,401.74,396.04,397.78,19276700
2024-08-12,400.52,402.44,397.99,400.76,16762900
2024-08-13,407.6,408.53,403.23,403.25,19414300
2024-08-14,410.41,411.26,406.07,408.38,18267000
2024-08-15,415.26,415.34,411.94,414.05,20752100
2024-08-16,412.74,415.57,411.58,414.84,22775600
2024-08-19,415.76,415.97,410.76,413.22,15234000
2024-08-20,418.98,420.03,415.86,415.92,16387600
2024-08-21,418.33,420.56,415.94,418.27,16067300
2024-08-22,409.86,420.94,408.93,418.55,19361900
2024-08-23,411.08,413.52,406.45,411.27,18493800
2024-08-26,407.83,411.56,405.71,410.67,13152800
2024-08-27,408.17,408.68,404.63,407.2,13492900
2024-08-28,404.98,409.32,401.73,409.2,14882700
2024-08-29,407.46,416.27,404.98,409.26,17045200
2024-08-30,411.43,411.77,406.48,409.91,24308300
2024-09-03,403.83,414.13,401.45,412.19,20313600
2024-09-04,403.3,405.61,398.83,400.35,15135800
2024-09-05,402.8,407.44,400.57,402.04,14195500
2024-09-06,396.2,405.02,395.31,403.46,19609500
2024-09-09,400.16,403.05,396.64,401.66,15295100
2024-09-10,408.53,410.63,402.12,402.61,19594300
2024-09-11,417.25,418.18,403.97,409.81,19266900
2024-09-12,421.15,421.52,414.0,417.51,17395700
2024-09-13,424.69,425.91,419.63,420.0,15874600
2024-09-16,425.43,427.59,422.35,424.7,13834700
2024-09-17,429.19,435.8,426.35,434.2,18874200
2024-09-18,424.91,430.06,424.51,429.04,18898000
2024-09-19,432.68,435.45,430.92,435.19,21706600
2024-09-20,429.31,433.22,428.27,431.23,55167100
2024-09-23,427.57,430.48,424.49,428.33,15128900
2024-09-24,423.29,427.41,420.26,427.07,17015800
2024-09-25,426.19,427.19,422.7,423.94,13396400
2024-09-26,425.4,429.34,423.25,429.13,14492000
2024-09-27,422.16,425.93,421.61,425.61,14896100
2024-09-30,424.41,424.52,419.54,422.34,16807300
2024-10-01,414.93,422.61,413.07,422.58,19092900
2024-10-02,411.42,417.03,411.0,416.79,16582300
2024-10-03,410.83,413.8,408.62,411.91,13686400
2024-10-04,410.36,414.0,409.29,412.51,19169700
2024-10-07,403.93,411.4,403.4,410.3,20919800
2024-10-08,409.03,409.97,402.58,405.27,19229300
2024-10-09,411.74,414.62,408.62,410.16,14974300
2024-10-10,410.14,411.63,407.49,409.54,13848400
2024-10-11,410.62,411.42,407.59,410.44,14144900
2024-10-14,413.4,418.23,411.8,412.05,16653100
2024-10-15,413.0,416.69,409.57,416.4,18900200
2024-10-16,410.42,410.66,404.86,409.48,15508900
2024-10-17,411.01,416.71,409.9,416.57,14820000
2024-10-18,412.43,413.9,410.56,411.43,17145300
2024-10-21,413.04,413.22,408.08,410.42,14206100
2024-10-22,421.65,424.68,412.31,412.76,25482200
2024-10-23,418.78,425.17,416.74,424.96,19654400
2024-10-24,418.91,420.14,416.61,419.5,13581600
2024-10-25,422.29,426.6,420.73,420.91,16899100
2024-10-28,420.75,426.02,420.46,425.75,14882400
2024-10-29,426.03,427.24,419.97,422.14,17644100
2024-10-30,426.61,432.49,426.18,431.45,29749100
2024-10-31,400.78,410.46,400.73,409.67,53971000
2024-11-01,404.75,409.81,401.92,403.41,24230400
2024-11-04,402.86,404.8,400.01,404.19,19672300
2024-11-05,405.82,409.22,402.49,402.78,17626000
2024-11-06,414.42,414.69,404.9,406.77,26681800
2024-11-07,419.6,421.0,414.13,415.51,19901800
2024-11-08,416.75,420.66,416.0,419.49,16891400
2024-11-11,412.28,418.99,410.3,416.73,24503300
2024-11-12,417.24,418.63,411.49,412.52,19401200
2024-11-13,419.38,423.45,412.48,415.86,21502200
2024-11-14,421.04,422.3,414.25,419.18,30246900
2024-11-15,409.32,417.01,407.97,414.07,28247600
2024-11-18,410.06,412.67,406.46,409.19,24727000
2024-11-19,412.07,412.22,405.91,407.45,18133500
2024-11-20,409.8,411.57,404.96,411.16,19191700
2024-11-21,408.03,414.86,405.48,414.58,20780200
2024-11-22,412.11,412.51,406.24,406.55,24814600
2024-11-25,413.88,416.14,409.99,413.47,27691100
2024-11-26,422.97,424.01,413.94,414.67,23458900
2024-11-27,418.03,422.22,417.07,420.13,18332400
2024-11-29,418.5,419.9,412.9,415.16,16271900
2024-12-02,425.93,427.92,416.37,416.63,20207200
2024-12-03,426.14,427.4,422.73,424.8,18302000
2024-12-04,432.29,434.52,427.56,427.95,26009400
2024-12-05,437.43,439.45,431.06,432.79,21697800
2024-12-06,438.37,440.87,436.59,437.11,18821000
2024-12-09,440.79,443.07,435.34,437.41,19144400
2024-12-10,438.13,444.35,436.42,439.18,18469500
2024-12-11,443.73,445.07,438.84,438.84,19200200
2024-12-12,444.29,450.81,443.84,443.84,20834800
2024-12-13,442.03,446.14,440.36,443.18,20177800
2024-12-16,446.3,446.88,440.06,442.03,23598800
